date,ticker,close,volume
2025-07-23,A0001,10.0000,1000000
2025-07-24,A0001,10.0200,1000800
2025-07-25,A0001,10.0400,1001600
2025-07-28,A0001,10.0600,1002400
2025-07-29,A0001,10.0800,1003200
2025-07-30,A0001,10.1000,1004000
2025-07-31,A0001,10.1200,1004800
2025-08-01,A0001,10.1400,1005600
2025-08-04,A0001,10.1600,1006400
2025-08-05,A0001,10.1800,1007200
2025-08-06,A0001,10.2000,1008000
2025-08-07,A0001,10.2200,1008800
2025-08-08,A0001,10.2400,1009600
2025-08-11,A0001,10.2600,1010400
2025-08-12,A0001,10.2800,1011200
2025-08-13,A0001,10.3000,1012000
2025-08-14,A0001,10.3200,1012800
2025-08-15,A0001,10.3400,1013600
2025-08-18,A0001,10.3600,1014400
2025-08-19,A0001,10.3800,1015200
2025-08-20,A0001,10.4000,1016000
2025-08-21,A0001,10.4200,1016800
2025-08-22,A0001,10.4400,1017600
2025-08-25,A0001,10.4600,1018400
2025-08-26,A0001,10.4800,1019200
2025-08-27,A0001,10.5000,1020000
2025-08-28,A0001,10.5200,1020800
2025-08-29,A0001,10.5400,1021600
2025-09-01,A0001,10.5600,1022400
2025-09-02,A0001,10.5800,1023200
2025-09-03,A0001,10.6000,1024000
2025-09-04,A0001,10.6200,1024800
2025-09-05,A0001,10.6400,1025600
2025-09-08,A0001,10.6600,1026400
2025-09-09,A0001,10.6800,1027200
2025-09-10,A0001,10.7000,1028000
2025-09-11,A0001,10.7200,1028800
2025-09-12,A0001,10.7400,1029600
2025-09-15,A0001,10.7600,1030400
2025-09-16,A0001,10.7800,1031200
2025-09-17,A0001,10.8000,1032000
2025-09-18,A0001,10.8200,1032800
2025-09-19,A0001,10.8400,1033600
2025-09-22,A0001,10.8600,1034400
2025-09-23,A0001,10.8800,1035200
2025-09-24,A0001,10.9000,1036000
2025-09-25,A0001,10.9200,1036800
2025-09-26,A0001,10.9400,1037600
2025-09-29,A0001,10.9600,1038400
2025-09-30,A0001,10.9800,1039200
2025-10-01,A0001,11.0000,1040000
2025-10-02,A0001,11.0200,1040800
2025-10-03,A0001,11.0400,1041600
2025-10-06,A0001,11.0600,1042400
2025-10-07,A0001,11.0800,1043200
2025-10-08,A0001,11.1000,1044000
2025-10-09,A0001,11.1200,1044800
2025-10-10,A0001,11.1400,1045600
2025-10-13,A0001,11.1600,1046400
2025-10-14,A0001,11.1800,1047200
2025-10-15,A0001,11.2000,1048000
2025-10-16,A0001,11.2200,1048800
2025-10-17,A0001,11.2400,1049600
2025-10-20,A0001,11.2600,1050400
2025-10-21,A0001,11.2800,1051200
2025-10-22,A0001,11.3000,1052000
2025-10-23,A0001,11.3200,1052800
2025-10-24,A0001,11.3400,1053600
2025-10-27,A0001,11.3600,1054400
2025-10-28,A0001,11.3800,1055200
2025-10-29,A0001,11.4000,1056000
2025-10-30,A0001,11.4200,1056800
2025-10-31,A0001,11.4400,1057600
2025-11-03,A0001,11.4600,1058400
2025-11-04,A0001,11.4800,1059200
2025-11-05,A0001,11.5000,1060000
2025-11-06,A0001,11.5200,1060800
2025-11-07,A0001,11.5400,1061600
2025-11-10,A0001,11.5600,1062400
2025-11-11,A0001,11.5800,1063200
2025-11-12,A0001,11.6000,1064000
2025-11-13,A0001,11.6200,1064800
2025-11-14,A0001,11.6400,1065600
2025-11-17,A0001,11.6600,1066400
2025-11-18,A0001,11.6800,1067200
2025-11-19,A0001,11.7000,1068000
2025-11-20,A0001,11.7200,1068800
2025-11-21,A0001,11.7400,1069600
2025-11-24,A0001,11.7600,1070400
2025-11-25,A0001,11.7800,1071200
2025-11-26,A0001,11.8000,1072000
2025-11-27,A0001,11.8200,1072800
2025-11-28,A0001,11.8400,1073600
2025-12-01,A0001,11.8600,1074400
2025-12-02,A0001,11.8800,1075200
2025-12-03,A0001,11.9000,1076000
2025-12-04,A0001,11.9200,1076800
2025-12-05,A0001,11.9400,1077600
2025-12-08,A0001,11.9600,1078400
2025-12-09,A0001,11.9800,1079200
2025-12-10,A0001,12.0000,1080000
2025-12-11,A0001,12.0200,1080800
2025-12-12,A0001,12.0400,1081600
2025-12-15,A0001,12.0600,1082400
2025-12-16,A0001,12.0800,1083200
2025-12-17,A0001,12.1000,1084000
2025-12-18,A0001,12.1200,1084800
2025-12-19,A0001,12.1400,1085600
2025-12-22,A0001,12.1600,1086400
2025-12-23,A0001,12.1800,1087200
2025-12-24,A0001,12.2000,1088000
2025-12-25,A0001,12.2200,1088800
2025-12-26,A0001,12.2400,1089600
2025-12-29,A0001,12.2600,1090400
2025-12-30,A0001,12.2800,1091200
2025-12-31,A0001,12.3000,1092000
2026-01-01,A0001,12.3200,1092800
2026-01-02,A0001,12.3400,1093600
2026-01-05,A0001,12.3600,1094400
2026-01-06,A0001,12.3800,1095200
2026-01-07,A0001,12.4000,1096000
2026-01-08,A0001,12.4200,1096800
2026-01-09,A0001,12.4400,1097600
2026-01-12,A0001,12.4600,1098400
2026-01-13,A0001,12.4800,1099200
2026-01-14,A0001,12.5000,1100000
2026-01-15,A0001,12.5200,1100800
2026-01-16,A0001,12.5400,1101600
2026-01-19,A0001,12.5600,1102400
2026-01-20,A0001,12.5800,1103200
2025-07-23,A0002,10.2100,1000050
2025-07-24,A0002,10.2310,1000850
2025-07-25,A0002,10.2520,1001650
2025-07-28,A0002,10.2730,1002450
2025-07-29,A0002,10.2940,1003250
2025-07-30,A0002,10.3150,1004050
2025-07-31,A0002,10.3360,1004850
2025-08-01,A0002,10.3570,1005650
2025-08-04,A0002,10.3780,1006450
2025-08-05,A0002,10.3990,1007250
2025-08-06,A0002,10.4200,1008050
2025-08-07,A0002,10.4410,1008850
2025-08-08,A0002,10.4620,1009650
2025-08-11,A0002,10.4830,1010450
2025-08-12,A0002,10.5040,1011250
2025-08-13,A0002,10.5250,1012050
2025-08-14,A0002,10.5460,1012850
2025-08-15,A0002,10.5670,1013650
2025-08-18,A0002,10.5880,1014450
2025-08-19,A0002,10.6090,1015250
2025-08-20,A0002,10.6300,1016050
2025-08-21,A0002,10.6510,1016850
2025-08-22,A0002,10.6720,1017650
2025-08-25,A0002,10.6930,1018450
2025-08-26,A0002,10.7140,1019250
2025-08-27,A0002,10.7350,1020050
2025-08-28,A0002,10.7560,1020850
2025-08-29,A0002,10.7770,1021650
2025-09-01,A0002,10.7980,1022450
2025-09-02,A0002,10.8190,1023250
2025-09-03,A0002,10.8400,1024050
2025-09-04,A0002,10.8610,1024850
2025-09-05,A0002,10.8820,1025650
2025-09-08,A0002,10.9030,1026450
2025-09-09,A0002,10.9240,1027250
2025-09-10,A0002,10.9450,1028050
2025-09-11,A0002,10.9660,1028850
2025-09-12,A0002,10.9870,1029650
2025-09-15,A0002,11.0080,1030450
2025-09-16,A0002,11.0290,1031250
2025-09-17,A0002,11.0500,1032050
2025-09-18,A0002,11.0710,1032850
2025-09-19,A0002,11.0920,1033650
2025-09-22,A0002,11.1130,1034450
2025-09-23,A0002,11.1340,1035250
2025-09-24,A0002,11.1550,1036050
2025-09-25,A0002,11.1760,1036850
2025-09-26,A0002,11.1970,1037650
2025-09-29,A0002,11.2180,1038450
2025-09-30,A0002,11.2390,1039250
2025-10-01,A0002,11.2600,1040050
2025-10-02,A0002,11.2810,1040850
2025-10-03,A0002,11.3020,1041650
2025-10-06,A0002,11.3230,1042450
2025-10-07,A0002,11.3440,1043250
2025-10-08,A0002,11.3650,1044050
2025-10-09,A0002,11.3860,1044850
2025-10-10,A0002,11.4070,1045650
2025-10-13,A0002,11.4280,1046450
2025-10-14,A0002,11.4490,1047250
2025-10-15,A0002,11.4700,1048050
2025-10-16,A0002,11.4910,1048850
2025-10-17,A0002,11.5120,1049650
2025-10-20,A0002,11.5330,1050450
2025-10-21,A0002,11.5540,1051250
2025-10-22,A0002,11.5750,1052050
2025-10-23,A0002,11.5960,1052850
2025-10-24,A0002,11.6170,1053650
2025-10-27,A0002,11.6380,1054450
2025-10-28,A0002,11.6590,1055250
2025-10-29,A0002,11.6800,1056050
2025-10-30,A0002,11.7010,1056850
2025-10-31,A0002,11.7220,1057650
2025-11-03,A0002,11.7430,1058450
2025-11-04,A0002,11.7640,1059250
2025-11-05,A0002,11.7850,1060050
2025-11-06,A0002,11.8060,1060850
2025-11-07,A0002,11.8270,1061650
2025-11-10,A0002,11.8480,1062450
