主题ID,主题名称,关键词,对应行业/概念
auto_01,AI云技术筑牢春晚直播底座,AI技术服务,AI技术服务
auto_01,AI云技术筑牢春晚直播底座,云计算,云计算
auto_01,AI云技术筑牢春晚直播底座,人工智能应用,人工智能应用
auto_01,AI云技术筑牢春晚直播底座,实时互动传媒,实时互动传媒
auto_01,AI云技术筑牢春晚直播底座,直播技术服务,直播技术服务
auto_01,AI云技术筑牢春晚直播底座,算力网络,算力网络
auto_01,AI云技术筑牢春晚直播底座,翻译服务,翻译服务
auto_01,AI云技术筑牢春晚直播底座,语音交互技术,语音交互技术
auto_01,AI云技术筑牢春晚直播底座,超高清视频产业,超高清视频产业
auto_02,豆包AI陪看赋能实时互动,AI技术服务,AI技术服务
auto_02,豆包AI陪看赋能实时互动,云计算,云计算
auto_02,豆包AI陪看赋能实时互动,人工智能应用,人工智能应用
auto_02,豆包AI陪看赋能实时互动,实时互动传媒,实时互动传媒
auto_02,豆包AI陪看赋能实时互动,直播技术服务,直播技术服务
auto_02,豆包AI陪看赋能实时互动,算力网络,算力网络
auto_02,豆包AI陪看赋能实时互动,翻译服务,翻译服务
auto_02,豆包AI陪看赋能实时互动,语音交互技术,语音交互技术
auto_02,豆包AI陪看赋能实时互动,超高清视频产业,超高清视频产业
auto_03,个性化AI年味内容共创,AI技术服务,AI技术服务
auto_03,个性化AI年味内容共创,云计算,云计算
auto_03,个性化AI年味内容共创,人工智能应用,人工智能应用
auto_03,个性化AI年味内容共创,实时互动传媒,实时互动传媒
auto_03,个性化AI年味内容共创,直播技术服务,直播技术服务
auto_03,个性化AI年味内容共创,算力网络,算力网络
auto_03,个性化AI年味内容共创,翻译服务,翻译服务
auto_03,个性化AI年味内容共创,语音交互技术,语音交互技术
auto_03,个性化AI年味内容共创,超高清视频产业,超高清视频产业
auto_04,跨屏协同与多端联动互动,AI技术服务,AI技术服务
auto_04,跨屏协同与多端联动互动,云计算,云计算
auto_04,跨屏协同与多端联动互动,人工智能应用,人工智能应用
auto_04,跨屏协同与多端联动互动,实时互动传媒,实时互动传媒
auto_04,跨屏协同与多端联动互动,直播技术服务,直播技术服务
auto_04,跨屏协同与多端联动互动,算力网络,算力网络
auto_04,跨屏协同与多端联动互动,翻译服务,翻译服务
auto_04,跨屏协同与多端联动互动,语音交互技术,语音交互技术
auto_04,跨屏协同与多端联动互动,超高清视频产业,超高清视频产业
auto_05,马年数字藏品全民申领,AI技术服务,AI技术服务
auto_05,马年数字藏品全民申领,云计算,云计算
auto_05,马年数字藏品全民申领,人工智能应用,人工智能应用
auto_05,马年数字藏品全民申领,实时互动传媒,实时互动传媒
auto_05,马年数字藏品全民申领,直播技术服务,直播技术服务
auto_05,马年数字藏品全民申领,算力网络,算力网络
auto_05,马年数字藏品全民申领,翻译服务,翻译服务
auto_05,马年数字藏品全民申领,语音交互技术,语音交互技术
auto_05,马年数字藏品全民申领,超高清视频产业,超高清视频产业
auto_06,预热期AI互动蓄力,AI技术服务,AI技术服务
auto_06,预热期AI互动蓄力,云计算,云计算
auto_06,预热期AI互动蓄力,人工智能应用,人工智能应用
auto_06,预热期AI互动蓄力,实时互动传媒,实时互动传媒
auto_06,预热期AI互动蓄力,直播技术服务,直播技术服务
auto_06,预热期AI互动蓄力,算力网络,算力网络
auto_06,预热期AI互动蓄力,翻译服务,翻译服务
auto_06,预热期AI互动蓄力,语音交互技术,语音交互技术
auto_06,预热期AI互动蓄力,超高清视频产业,超高清视频产业
auto_07,分时段核心互动彩蛋,AI技术服务,AI技术服务
auto_07,分时段核心互动彩蛋,云计算,云计算
auto_07,分时段核心互动彩蛋,人工智能应用,人工智能应用
auto_07,分时段核心互动彩蛋,实时互动传媒,实时互动传媒
auto_07,分时段核心互动彩蛋,直播技术服务,直播技术服务
auto_07,分时段核心互动彩蛋,算力网络,算力网络
auto_07,分时段核心互动彩蛋,翻译服务,翻译服务
auto_07,分时段核心互动彩蛋,语音交互技术,语音交互技术
auto_07,分时段核心互动彩蛋,超高清视频产业,超高清视频产业
auto_08,人机协同坚守互动安全合规,AI技术服务,AI技术服务
auto_08,人机协同坚守互动安全合规,云计算,云计算
auto_08,人机协同坚守互动安全合规,人工智能应用,人工智能应用
auto_08,人机协同坚守互动安全合规,实时互动传媒,实时互动传媒
auto_08,人机协同坚守互动安全合规,直播技术服务,直播技术服务
auto_08,人机协同坚守互动安全合规,算力网络,算力网络
auto_08,人机协同坚守互动安全合规,翻译服务,翻译服务
auto_08,人机协同坚守互动安全合规,语音交互技术,语音交互技术
auto_08,人机协同坚守互动安全合规,超高清视频产业,超高清视频产业
auto_09,理性参与不依赖AI互动,AI技术服务,AI技术服务
auto_09,理性参与不依赖AI互动,云计算,云计算
auto_09,理性参与不依赖AI互动,人工智能应用,人工智能应用
auto_09,理性参与不依赖AI互动,实时互动传媒,实时互动传媒
auto_09,理性参与不依赖AI互动,直播技术服务,直播技术服务
auto_09,理性参与不依赖AI互动,算力网络,算力网络
auto_09,理性参与不依赖AI互动,翻译服务,翻译服务
auto_09,理性参与不依赖AI互动,语音交互技术,语音交互技术
auto_09,理性参与不依赖AI互动,超高清视频产业,超高清视频产业
auto_10,互动沉淀与二次创作延展,AI技术服务,AI技术服务
auto_10,互动沉淀与二次创作延展,云计算,云计算
auto_10,互动沉淀与二次创作延展,人工智能应用,人工智能应用
auto_10,互动沉淀与二次创作延展,实时互动传媒,实时互动传媒
auto_10,互动沉淀与二次创作延展,直播技术服务,直播技术服务
auto_10,互动沉淀与二次创作延展,算力网络,算力网络
auto_10,互动沉淀与二次创作延展,翻译服务,翻译服务
auto_10,互动沉淀与二次创作延展,语音交互技术,语音交互技术
auto_10,互动沉淀与二次创作延展,超高清视频产业,超高清视频产业
